Security Code,Security Name,Security Group,Open,High,Low,LTP,No. of Shares Traded,Total Turnover (my image Lac),No. of Trades
500238,WHIRLPOOL,A,784.90,801.70,771.00,800.15,127809,997.00,1907
540611,AUBANK,A,1009.70,1027.30,968.85,997.80,99003,988.00,5654
544282,SAGILITY,A,51.50,53.06,50.98,51.86,1872051,975.00,5526
541143,BDL,A,1445.20,1463.95,1413.00,1429.30,66829,959.00,4231
540691,ABCAPITAL,A,352.75,356.70,343.10,347.70,262485,915.00,5898
543235,ANGELONE,A,2603.00,2629.45,2520.00,2556.25,35250,905.00,5608
532921,ADANIPORTS,A,1369.60,1380.55,1345.05,1370.00,66062,902.00,6258
542399,CHALET,A,843.35,851.35,808.60,825.95,110857,901.00,987
532477,UNIONBANK,A,174.95,178.25,170.85,173.80,515726,898.00,4219
500163,GODFRYPHLP,A,2111.50,2132.50,2047.20,2077.35,41823,871.00,4049
544325,ITCHOTELS,A,180.30,187.70,178.20,187.65,479120,870.00,7222
534309,NBCC,A,97.65,98.85,95.50,97.65,891482,867.00,5964
533278,COALINDIA,A,414.40,419.40,412.35,415.60,207486,862.00,5293
541956,IRCON,A,154.80,156.15,151.50,153.95,557034,858.00,6597
532525,MAHABANK,A,63.19,64.74,62.93,63.91,1343865,858.00,5537
533581,PGEL,A,545.05,551.35,524.50,537.80,157750,851.00,5320
533150,GODREJPROP,A,1694.75,1706.00,1628.80,1650.75,51001,848.00,5948
532281,HCLTECH,A,1690.70,1692.45,1669.00,1678.70,50464,845.00,5833
531595,CGCL,A,174.45,175.00,167.10,168.55,498809,842.00,3891
500477,ASHOKLEY,A,180.05,182.20,176.85,180.30,463878,832.00,6335
500067,BLUESTARCO,A,1725.85,1730.40,1690.00,1714.65,48121,825.00,3120
532209,J&KBANK,A,99.45,103.65,99.45,103.05,800030,818.00,3489
530965,IOC,A,158.15,159.90,156.55,159.00,513946,814.00,5910
500408,TATAELXSI,A,5302.00,5449.55,5288.05,5368.70,15159,812.00,3756
543904,MANKIND,A,2095.70,2128.95,2081.80,2099.70,38590,811.00,952
532149,BANKINDIA,A,160.65,162.55,156.35,158.35,504120,806.00,3854
508869,APOLLOHOSP,A,6903.20,6910.00,6740.00,6832.80,11750,804.00,2299
532215,AXISBANK,A,1293.05,1297.30,1267.70,1277.80,61785,792.00,5545
532483,CANBK,A,153.35,155.50,149.80,151.15,515698,788.00,3793
500440,HINDALCO,A,928.05,944.20,926.10,936.35,83268,778.00,4277
532966,TITAGARH,A,770.55,779.00,758.00,770.60,99546,766.00,4403
542726,INDIAMART,A,2188.50,2277.00,2177.00,2227.25,34229,760.00,3390
500110,CHENNPETRO,A,802.95,845.10,800.00,840.50,89958,739.00,3693
532300,WOCKPHARMA,A,1369.70,1399.90,1337.20,1348.25,53929,738.00,2196
544397,ATHERENERG,B,593.45,612.85,588.65,608.00,122016,731.00,3731
539437,IDFCFIRSTB,A,81.52,82.42,79.65,81.42,900234,731.00,6627
532627,JPPOWER,A,15.31,15.64,15.03,15.36,4741626,727.00,5781
532461,PNB,A,125.10,126.70,122.75,124.15,573195,716.00,3980
533098,NHPC,A,76.78,77.65,76.00,76.88,932916,714.00,8161
533023,ZFCVINDIA,A,13814.00,13814.00,13525.00,13798.00,5225,714.00,164
543232,CAMS,A,702.45,713.75,687.00,696.55,101346,707.00,5355
511243,CHOLAFIN,A,1626.10,1661.20,1617.80,1630.10,41213,673.00,1760
500878,CEATLTD,A,3712.70,3719.90,3502.40,3580.00,18601,666.00,2618
532466,OFSS,A,7705.00,7798.30,7542.00,7732.15,8695,662.00,1099
544028,TATATECH,A,646.75,650.50,632.10,643.00,100939,646.00,4945
500547,BPCL,A,353.05,358.60,345.45,349.65,183384,645.00,4550
543187,POWERINDIA,A,16645.00,16880.65,16445.00,16805.00,3772,629.00,696
523642,PIIND,A,3119.40,3166.35,3080.70,3159.45,20157,628.00,1939
532343,TVSMOTOR,A,3591.10,3607.10,3523.05,3571.90,17395,619.00,5704
543428,DATAPATTNS,A,2240.95,2269.10,2202.95,2241.60,27609,618.00,4301
544026,IREDA,A,129.85,131.20,127.05,128.60,479353,618.00,4837
532755,TECHM,A,1678.40,1694.95,1660.70,1680.50,35862,601.00,3098
500104,HINDPETRO,A,438.40,442.20,428.40,436.10,135990,593.00,4226
539551,NH,A,1801.40,1813.45,1757.55,1786.90,32463,578.00,3366
532555,NTPC,A,338.35,341.10,336.85,339.25,169866,575.00,7465
526371,NMDC,A,78.14,79.56,77.02,78.24,727271,570.00,4112
500770,TATACHEM,A,729.75,729.75,700.00,704.00,80182,569.00,4969
532187,INDUSINDBK,A,906.05,919.15,892.00,902.65,61579,557.00,2458
500182,HEROMOTOCO,A,5550.30,5636.40,5510.40,5545.45,9931,551.00,3663
532497,RADICO,A,2750.30,2799.00,2699.20,2794.30,19996,549.00,4669
540376,DMART,A,3662.00,3690.30,3616.20,3653.35,14961,546.00,3157
531213,MANAPPURAM,A,302.55,305.45,294.00,300.70,181053,544.00,2502
542066,ATGL,A,531.10,537.05,523.00,531.00,102242,542.00,3334
543265,RAILTEL,A,330.20,333.50,324.00,332.05,161630,531.00,3269
500368,PATANJALI,A,502.00,506.00,494.50,496.50,106592,531.00,2191
543720,KFINTECH,A,1000.70,1016.10,986.60,1001.70,52813,528.00,3489
532947,IRB,A,39.81,40.30,38.57,39.23,1333067,523.00,7206
543994,JSWINFRA,A,266.05,270.35,260.80,269.50,197367,522.00,3329
544307,VMM,A,122.95,123.80,120.85,122.65,419541,513.00,4244
540595,TEJASNET,A,328.45,338.00,321.35,327.95,154465,511.00,3352
541233,LEMONTREE,A,134.00,134.35,127.50,131.45,391137,510.00,5024
532928,TARIL,A,242.50,249.30,239.35,246.30,208071,509.00,2966
532843,FORTIS,A,848.85,855.40,831.45,850.00,59540,503.00,7474
500086,EXIDEIND,A,328.20,333.55,322.60,325.65,153274,502.00,5993
505200,EICHERMOT,A,7082.30,7214.05,7003.40,7060.15,7045,499.00,2653
540750,IEX,A,130.25,132.95,128.65,129.80,372377,486.00,3572
532636,IIFL,A,625.25,628.35,598.65,613.50,78330,482.00,3131
543526,LICI,A,808.05,813.55,803.00,807.45,58439,472.00,2917
517569,KEI,A,4059.00,4069.30,3878.00,3932.95,11870,472.00,5037
524816,NATCOPHARM,A,819.00,844.75,813.75,837.45,55910,465.00,3964
532762,ACE,A,804.70,813.65,790.40,800.00,58061,465.00,2754
532892,MOTILALOFS,A,803.05,805.35,772.70,779.45,59153,463.00,2696
532868,DLF,A,611.30,622.80,607.65,616.10,75289,462.00,2752
532522,PETRONET,A,272.50,276.25,270.00,276.15,169504,462.00,6059
535755,ABFRL,A,67.90,68.05,65.12,65.88,692346,461.00,5391
534816,INDUSTOWER,A,408.10,415.30,401.65,412.75,112569,460.00,2650
509631,HEG,A,556.50,563.90,545.85,553.00,82964,460.00,2132
532432,UNITDSPR,A,1302.20,1311.30,1276.00,1307.00,35301,455.00,3435
509488,GRAPHITE,A,616.00,628.35,612.40,625.50,72750,451.00,2457
540530,HUDCO,A,205.75,207.60,201.50,205.05,220382,451.00,2733
532929,BRIGADE,A,782.25,792.60,772.00,776.65,57766,449.00,4491
533206,SJVN,A,71.79,72.20,70.59,71.95,624069,446.00,4961
543573,SYRMA,A,643.25,660.00,634.15,649.05,69175,446.00,3114
544274,HYUNDAI,A,2298.00,2311.70,2239.05,2268.60,19328,437.00,1703
540777,HDFCLIFE,A,730.60,740.85,726.60,730.50,59427,437.00,2506
533148,JSWENERGY,A,478.05,480.15,470.80,478.95,91066,432.00,2784
532810,PFC,A,358.20,360.00,351.55,360.00,119585,425.00,2873
500116,IDBI,A,95.35,96.95,94.25,95.95,442548,424.00,2265
532155,GAIL,A,161.00,165.15,159.80,164.95,259154,421.00,2790
539254,ADANIENSOL,A,881.55,907.80,877.45,901.90,46520,417.00,2628
500008,ARE&M,A,845.95,858.90,841.30,852.75,48497,412.00,3625
